type coverage,method name,average variable each time run,average expression each time run
STATEMENT,addWithOverflowDefault,3.6,17.0
STATEMENT,binaryGcd,8.0,37.0
STATEMENT,binarySearch,11.2,63.6
STATEMENT,computeUInt64SizeNoTag,5.0,106.0
STATEMENT,countBits,29.0,1034.0
STATEMENT,divWord,5.0,60.0
STATEMENT,divadd,3.0,18.0
STATEMENT,encodeCopy,10.0,269.0
STATEMENT,expandedCapacity,9.0,113.0
STATEMENT,findCodePoint,47.0,603.0
STATEMENT,gcd,11.0,69.0
STATEMENT,getCases,16.0,92.0
STATEMENT,getLengthBytes,4.0,40.0
STATEMENT,getNumOfLenBytes,4.0,40.0
STATEMENT,getPairIndex,8.0,309.0
STATEMENT,getPrimaries,5.0,24.0
STATEMENT,getQuaternaries,10.0,53.0
STATEMENT,getSecondariesFromOneShortCE,1.0,6.0
STATEMENT,getTertiaries,28.0,125.0
STATEMENT,highBit,4.0,67.0
STATEMENT,isCompatibleBrand,3.0,19.0
STATEMENT,lookup,6.0,47.0
STATEMENT,mulsub,4.0,20.0
STATEMENT,mulsubBorrow,4.0,20.0
STATEMENT,next,0.0,0.0
STATEMENT,numberOfLeadingZeros,4.0,58.0
STATEMENT,numberOfTrailingZeros,4.0,74.0
STATEMENT,pow,1.0,3.0
STATEMENT,random,3.0,20.0
STATEMENT,readBits,10.0,42.0
STATEMENT,saturatedAdd,2.0,11.0
STATEMENT,saturatedMultiply,6.0,544.0
STATEMENT,saturatedSubtract,2.0,12.0
STATEMENT,set32x64Bits,0.0,0.0
STATEMENT,slide,0.0,0.0
STATEMENT,stickyRound,1.0,8.0
STATEMENT,subtractWithOverflowDefault,4.0,21.0
STATEMENT,tableSize,2.0,11.0
STATEMENT,toCompactValue,4.0,23.1
BRANCH,addWithOverflowDefault,4.0,19.0
BRANCH,binaryGcd,8.0,37.0
BRANCH,binarySearch,10.4,59.2
BRANCH,computeUInt64SizeNoTag,5.0,106.0
BRANCH,countBits,29.0,1034.0
BRANCH,divWord,5.0,60.0
BRANCH,divadd,2.0,12.0
BRANCH,encodeCopy,14.0,383.0
BRANCH,expandedCapacity,9.0,113.0
BRANCH,findCodePoint,47.0,603.0
BRANCH,gcd,11.0,69.0
BRANCH,getCases,16.0,92.0
BRANCH,getLengthBytes,4.0,40.0
BRANCH,getNumOfLenBytes,4.0,40.0
BRANCH,getPairIndex,12.0,473.0
BRANCH,getPrimaries,5.0,24.0
BRANCH,getQuaternaries,10.0,53.0
BRANCH,getSecondariesFromOneShortCE,1.0,6.0
BRANCH,getTertiaries,28.0,125.0
BRANCH,highBit,5.0,86.0
BRANCH,isCompatibleBrand,3.0,19.0
BRANCH,lookup,6.0,47.0
BRANCH,mulsub,3.0,13.0
BRANCH,mulsubBorrow,3.0,13.0
BRANCH,next,0.0,0.0
BRANCH,numberOfLeadingZeros,4.0,58.0
BRANCH,numberOfTrailingZeros,5.0,94.0
BRANCH,pow,3.0,15.0
BRANCH,random,9.0,68.0
BRANCH,readBits,10.0,42.0
BRANCH,saturatedAdd,2.0,11.0
BRANCH,saturatedMultiply,6.0,544.0
BRANCH,saturatedSubtract,2.0,12.0
BRANCH,set32x64Bits,0.0,0.0
BRANCH,slide,0.0,0.0
BRANCH,stickyRound,1.0,8.0
BRANCH,subtractWithOverflowDefault,4.0,21.0
BRANCH,tableSize,2.0,11.0
BRANCH,toCompactValue,4.0,23.1
MCDC,addWithOverflowDefault,3.6,17.0
MCDC,binaryGcd,8.0,37.0
MCDC,binarySearch,10.8,61.4
MCDC,computeUInt64SizeNoTag,5.0,106.0
MCDC,countBits,29.0,1034.0
MCDC,divWord,5.0,60.0
MCDC,divadd,2.0,12.0
MCDC,encodeCopy,14.0,383.0
MCDC,expandedCapacity,9.0,113.0
MCDC,findCodePoint,51.0,626.0
MCDC,gcd,12.0,73.0
MCDC,getCases,20.0,103.0
MCDC,getLengthBytes,4.0,40.0
MCDC,getNumOfLenBytes,4.0,40.0
MCDC,getPairIndex,12.0,473.0
MCDC,getPrimaries,5.0,24.0
MCDC,getQuaternaries,10.0,53.0
MCDC,getSecondariesFromOneShortCE,1.0,6.0
MCDC,getTertiaries,28.0,125.0
MCDC,highBit,5.0,86.0
MCDC,isCompatibleBrand,5.0,30.0
MCDC,lookup,10.0,69.0
MCDC,mulsub,3.0,13.0
MCDC,mulsubBorrow,3.0,13.0
MCDC,next,0.0,0.0
MCDC,numberOfLeadingZeros,4.0,58.0
MCDC,numberOfTrailingZeros,5.0,94.0
MCDC,pow,5.0,23.0
MCDC,random,9.0,68.0
MCDC,readBits,10.0,42.0
MCDC,saturatedAdd,2.0,10.0
MCDC,saturatedMultiply,8.0,723.0
MCDC,saturatedSubtract,2.0,12.0
MCDC,set32x64Bits,0.0,0.0
MCDC,slide,0.0,0.0
MCDC,stickyRound,1.0,8.0
MCDC,subtractWithOverflowDefault,3.5555555555555554,18.555555555555557
MCDC,tableSize,2.0,11.0
MCDC,toCompactValue,10.8,53.0
