Called number,type coverage,method name,average variable each time run,average expression each time run
1,STATEMENT,addWithOverflowDefault,2,9.5
2,STATEMENT,addWithOverflowDefault,2,9.5
3,STATEMENT,addWithOverflowDefault,2,9.5
4,STATEMENT,addWithOverflowDefault,2,9
5,STATEMENT,addWithOverflowDefault,2,9.5
6,STATEMENT,addWithOverflowDefault,2,9.5
7,STATEMENT,addWithOverflowDefault,2,9.5
8,STATEMENT,addWithOverflowDefault,2,9
9,STATEMENT,addWithOverflowDefault,2,9.5
10,STATEMENT,addWithOverflowDefault,2,9.5
1,STATEMENT,binaryGcd,2.6667,12.3333
2,STATEMENT,binaryGcd,2.6667,12.3333
3,STATEMENT,binaryGcd,2.6667,12.3333
4,STATEMENT,binaryGcd,2.6667,12.3333
5,STATEMENT,binaryGcd,2.6667,12.3333
6,STATEMENT,binaryGcd,2.6667,12.3333
7,STATEMENT,binaryGcd,2.6667,12.3333
8,STATEMENT,binaryGcd,2.6667,12.3333
9,STATEMENT,binaryGcd,2.6667,12.3333
10,STATEMENT,binaryGcd,2.6667,12.3333
1,STATEMENT,binarySearch,4,23
2,STATEMENT,binarySearch,4,22.6667
3,STATEMENT,binarySearch,4,22.6667
4,STATEMENT,binarySearch,4,22.6667
5,STATEMENT,binarySearch,4,22.6667
6,STATEMENT,binarySearch,4,22.6667
7,STATEMENT,binarySearch,4,22.6667
8,STATEMENT,binarySearch,4,22.6667
9,STATEMENT,binarySearch,4,22.6667
10,STATEMENT,binarySearch,4,22.6667
11,STATEMENT,binarySearch,4,22.6667
12,STATEMENT,binarySearch,4,22.6667
13,STATEMENT,binarySearch,4,22.6667
14,STATEMENT,binarySearch,4,22.6667
15,STATEMENT,binarySearch,4,23
16,STATEMENT,binarySearch,4,23
17,STATEMENT,binarySearch,4,22.6667
18,STATEMENT,binarySearch,4,22.6667
19,STATEMENT,binarySearch,4,23
20,STATEMENT,binarySearch,4,22.6667
1,STATEMENT,computeUInt64SizeNoTag,1,21.2
2,STATEMENT,computeUInt64SizeNoTag,1,21.2
3,STATEMENT,computeUInt64SizeNoTag,1,21.2
4,STATEMENT,computeUInt64SizeNoTag,1,21.2
5,STATEMENT,computeUInt64SizeNoTag,1,21.2
6,STATEMENT,computeUInt64SizeNoTag,1,21.2
7,STATEMENT,computeUInt64SizeNoTag,1,21.2
8,STATEMENT,computeUInt64SizeNoTag,1,21.2
9,STATEMENT,computeUInt64SizeNoTag,1,21.2
10,STATEMENT,computeUInt64SizeNoTag,1,21.2
1,STATEMENT,countBits,1,35.6552
2,STATEMENT,countBits,1,35.6552
3,STATEMENT,countBits,1,35.6552
4,STATEMENT,countBits,1,35.6552
5,STATEMENT,countBits,1,35.6552
6,STATEMENT,countBits,1,35.6552
7,STATEMENT,countBits,1,35.6552
8,STATEMENT,countBits,1,35.6552
9,STATEMENT,countBits,1,35.6552
10,STATEMENT,countBits,1,35.6552
1,STATEMENT,divWord,1.6667,20
2,STATEMENT,divWord,1.6667,20
3,STATEMENT,divWord,1.6667,20
4,STATEMENT,divWord,1.6667,20
5,STATEMENT,divWord,1.6667,20
6,STATEMENT,divWord,1.6667,20
7,STATEMENT,divWord,1.6667,20
8,STATEMENT,divWord,1.6667,20
9,STATEMENT,divWord,1.6667,20
10,STATEMENT,divWord,1.6667,20
1,STATEMENT,divadd,3,18
2,STATEMENT,divadd,3,18
3,STATEMENT,divadd,3,18
4,STATEMENT,divadd,3,18
5,STATEMENT,divadd,3,18
6,STATEMENT,divadd,3,18
7,STATEMENT,divadd,3,18
8,STATEMENT,divadd,3,18
9,STATEMENT,divadd,3,18
10,STATEMENT,divadd,3,18
1,STATEMENT,encodeCopy,2,53.8
2,STATEMENT,encodeCopy,2,53.8
3,STATEMENT,encodeCopy,2,53.8
4,STATEMENT,encodeCopy,2,53.8
5,STATEMENT,encodeCopy,2,53.8
6,STATEMENT,encodeCopy,2,53.8
7,STATEMENT,encodeCopy,2,53.8
8,STATEMENT,encodeCopy,2,53.8
9,STATEMENT,encodeCopy,2,53.8
10,STATEMENT,encodeCopy,2,53.8
1,STATEMENT,expandedCapacity,1.8,22.6
2,STATEMENT,expandedCapacity,1.8,22.6
3,STATEMENT,expandedCapacity,1.8,22.6
4,STATEMENT,expandedCapacity,1.8,22.6
5,STATEMENT,expandedCapacity,1.8,22.6
6,STATEMENT,expandedCapacity,1.8,22.6
7,STATEMENT,expandedCapacity,1.8,22.6
8,STATEMENT,expandedCapacity,1.8,22.6
9,STATEMENT,expandedCapacity,1.8,22.6
10,STATEMENT,expandedCapacity,1.8,22.6
1,STATEMENT,findCodePoint,3.9167,50.25
2,STATEMENT,findCodePoint,3.9167,50.25
3,STATEMENT,findCodePoint,3.9167,50.25
4,STATEMENT,findCodePoint,3.9167,50.25
5,STATEMENT,findCodePoint,3.9167,50.25
6,STATEMENT,findCodePoint,3.9167,50.25
7,STATEMENT,findCodePoint,3.9167,50.25
8,STATEMENT,findCodePoint,3.9167,50.25
9,STATEMENT,findCodePoint,3.9167,50.25
10,STATEMENT,findCodePoint,3.9167,50.25
1,STATEMENT,gcd,2.75,17.25
2,STATEMENT,gcd,2.75,17.25
3,STATEMENT,gcd,2.75,17.25
4,STATEMENT,gcd,2.75,17.25
5,STATEMENT,gcd,2.75,17.25
6,STATEMENT,gcd,2.75,17.25
7,STATEMENT,gcd,2.75,17.25
8,STATEMENT,gcd,2.75,17.25
9,STATEMENT,gcd,2.75,17.25
10,STATEMENT,gcd,2.75,17.25
1,STATEMENT,getCases,2,11.5
2,STATEMENT,getCases,2,11.5
3,STATEMENT,getCases,2,11.5
4,STATEMENT,getCases,2,11.5
5,STATEMENT,getCases,2,11.5
6,STATEMENT,getCases,2,11.5
7,STATEMENT,getCases,2,11.5
8,STATEMENT,getCases,2,11.5
9,STATEMENT,getCases,2,11.5
10,STATEMENT,getCases,2,11.5
1,STATEMENT,getLengthBytes,1,10
2,STATEMENT,getLengthBytes,1,10
3,STATEMENT,getLengthBytes,1,10
4,STATEMENT,getLengthBytes,1,10
5,STATEMENT,getLengthBytes,1,10
6,STATEMENT,getLengthBytes,1,10
7,STATEMENT,getLengthBytes,1,10
8,STATEMENT,getLengthBytes,1,10
9,STATEMENT,getLengthBytes,1,10
10,STATEMENT,getLengthBytes,1,10
1,STATEMENT,getNumOfLenBytes,1,10
2,STATEMENT,getNumOfLenBytes,1,10
3,STATEMENT,getNumOfLenBytes,1,10
4,STATEMENT,getNumOfLenBytes,1,10
5,STATEMENT,getNumOfLenBytes,1,10
6,STATEMENT,getNumOfLenBytes,1,10
7,STATEMENT,getNumOfLenBytes,1,10
8,STATEMENT,getNumOfLenBytes,1,10
9,STATEMENT,getNumOfLenBytes,1,10
10,STATEMENT,getNumOfLenBytes,1,10
1,STATEMENT,getPairIndex,4,154.5
2,STATEMENT,getPairIndex,4,154.5
3,STATEMENT,getPairIndex,4,154.5
4,STATEMENT,getPairIndex,4,154.5
5,STATEMENT,getPairIndex,4,154.5
6,STATEMENT,getPairIndex,4,154.5
7,STATEMENT,getPairIndex,4,154.5
8,STATEMENT,getPairIndex,4,154.5
9,STATEMENT,getPairIndex,4,154.5
10,STATEMENT,getPairIndex,4,154.5
1,STATEMENT,getPrimaries,1.6667,8
2,STATEMENT,getPrimaries,1.6667,8
3,STATEMENT,getPrimaries,1.6667,8
4,STATEMENT,getPrimaries,1.6667,8
5,STATEMENT,getPrimaries,1.6667,8
6,STATEMENT,getPrimaries,1.6667,8
7,STATEMENT,getPrimaries,1.6667,8
8,STATEMENT,getPrimaries,1.6667,8
9,STATEMENT,getPrimaries,1.6667,8
10,STATEMENT,getPrimaries,1.6667,8
1,STATEMENT,getQuaternaries,1.6667,8.8333
2,STATEMENT,getQuaternaries,1.6667,8.8333
3,STATEMENT,getQuaternaries,1.6667,8.8333
4,STATEMENT,getQuaternaries,1.6667,8.8333
5,STATEMENT,getQuaternaries,1.6667,8.8333
6,STATEMENT,getQuaternaries,1.6667,8.8333
7,STATEMENT,getQuaternaries,1.6667,8.8333
8,STATEMENT,getQuaternaries,1.6667,8.8333
9,STATEMENT,getQuaternaries,1.6667,8.8333
10,STATEMENT,getQuaternaries,1.6667,8.8333
1,STATEMENT,getSecondariesFromOneShortCE,1,6
