coverage_type,method_name,completed_runs,average_coverage_percent,average_time_ms,average_memory_mb,average_variable_count,average_z3_expression_count,status
STATEMENT,addWithOverflowDefault,10,100,771.4,73.485725,2,9,OK
STATEMENT,binaryGcd,10,100,1865.6,77.504247,8,37,OK
STATEMENT,"binarySearch(int[],int,int)",10,100,2407.8,81.490715,10.4,59.2,OK
STATEMENT,"binarySearch(long[],int,long)",10,100,1959.6,74.535875,10.8,61.4,OK
STATEMENT,computeUInt64SizeNoTag,10,100,3108.2,74.684703,5.1,106.5,OK
STATEMENT,countBits,10,100,1519.5,78.515667,29,1034,OK
STATEMENT,divWord,10,69.230769,3346.2,79.362170,5,64,OK
STATEMENT,divadd,10,100,1064.7,76.909631,3,18,OK
STATEMENT,encodeCopy,10,100,2390.0,76.047945,10,269,OK
STATEMENT,expandedCapacity,10,100,2136.3,85.024294,9,113,OK
STATEMENT,findCodePoint,10,100,2293.2,77.180907,47,603,OK
STATEMENT,gcd,10,100,2397.4,118.535688,11,69,OK
STATEMENT,getCases,10,100,3894.6,79.562960,16,92,OK
STATEMENT,getLengthBytes,10,100,2233.0,75.793504,4,40,OK
STATEMENT,getNumOfLenBytes,10,100,2311.2,75.208842,4,40,OK
STATEMENT,getPairIndex,10,100,2105.2,82.733137,8,309,OK
STATEMENT,getPrimaries,10,100,1755.9,77.649036,5,24,OK
STATEMENT,getQuaternaries,10,100,3345.0,78.722157,10,53,OK
STATEMENT,getSecondariesFromOneShortCE,10,100,830.9,77.143713,1,6,OK
STATEMENT,getTertiaries,10,100,5516.6,81.392770,28,125,OK
STATEMENT,highBit,10,100,2365.2,75.437714,4,67,OK
STATEMENT,isCompatibleBrand,10,100,1426.5,73.761327,3,19,OK
STATEMENT,lookup,10,100,2013.2,77.799638,6,47,OK
STATEMENT,mulsub,10,100,1532.0,77.317899,6.7,31.7,OK
STATEMENT,mulsubBorrow,10,100,934.3,76.977711,4,20,OK
STATEMENT,next,10,100,593.2,73.807481,0,0,OK
STATEMENT,numberOfLeadingZeros,10,100,2392.3,74.902745,4,58,OK
STATEMENT,numberOfTrailingZeros,10,100,2311.7,74.977345,4,74,OK
STATEMENT,pow,10,80,1096.3,77.889140,1,3,OK
STATEMENT,random,10,100,1127.4,74.428307,3,20,OK
STATEMENT,readBits,10,100,1790.7,74.175253,10,42,OK
STATEMENT,saturatedAdd,10,100,932.2,77.869216,2,11,OK
STATEMENT,saturatedMultiply,10,80,3214.5,89.732506,6,1100,OK
STATEMENT,saturatedSubtract,10,100,1250.3,85.368966,2,12,OK
STATEMENT,set32x64Bits,10,61.111111,4892.2,86.014533,57,565,OK
STATEMENT,slide,10,22.222222,8271.3,21302.887457,0,0,OK
