Called number,type coverage,method name,coverage each time run,number of called Z3
1,STATEMENT,addWithOverflowDefault,0.0,2
2,STATEMENT,addWithOverflowDefault,0.0,2
3,STATEMENT,addWithOverflowDefault,0.0,2
4,STATEMENT,addWithOverflowDefault,100.0,1
5,STATEMENT,addWithOverflowDefault,0.0,2
6,STATEMENT,addWithOverflowDefault,66.66666666666667,2
7,STATEMENT,addWithOverflowDefault,0.0,2
8,STATEMENT,addWithOverflowDefault,100.0,1
9,STATEMENT,addWithOverflowDefault,0.0,2
10,STATEMENT,addWithOverflowDefault,0.0,2
1,STATEMENT,binaryGcd,100.0,3
2,STATEMENT,binaryGcd,100.0,3
3,STATEMENT,binaryGcd,100.0,3
4,STATEMENT,binaryGcd,100.0,3
5,STATEMENT,binaryGcd,100.0,3
6,STATEMENT,binaryGcd,100.0,3
7,STATEMENT,binaryGcd,100.0,3
8,STATEMENT,binaryGcd,100.0,3
9,STATEMENT,binaryGcd,100.0,3
10,STATEMENT,binaryGcd,100.0,3
1,STATEMENT,binarySearch,100.0,2
2,STATEMENT,binarySearch,100.0,3
3,STATEMENT,binarySearch,100.0,3
4,STATEMENT,binarySearch,100.0,3
5,STATEMENT,binarySearch,100.0,3
6,STATEMENT,binarySearch,100.0,3
7,STATEMENT,binarySearch,100.0,3
8,STATEMENT,binarySearch,100.0,3
9,STATEMENT,binarySearch,100.0,3
10,STATEMENT,binarySearch,100.0,3
11,STATEMENT,binarySearch,100.0,3
12,STATEMENT,binarySearch,100.0,3
13,STATEMENT,binarySearch,100.0,3
14,STATEMENT,binarySearch,100.0,3
15,STATEMENT,binarySearch,100.0,2
16,STATEMENT,binarySearch,100.0,2
17,STATEMENT,binarySearch,100.0,3
18,STATEMENT,binarySearch,100.0,3
19,STATEMENT,binarySearch,100.0,2
20,STATEMENT,binarySearch,100.0,3
1,STATEMENT,computeUInt64SizeNoTag,100.0,5
2,STATEMENT,computeUInt64SizeNoTag,100.0,5
